Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season,homeaway,team_full,year,alphteam,gameid,Neutral
28,28,2026-02-21,@,UMBC,REG (Conf),L,62,66,NA,26,50,.520,7,17,.412,19,33,.576,.590,3,4,.750,3,22,25,8,4,3,11,14,24,57,.421,8,20,.400,16,37,.432,.491,10,13,.769,9,19,28,12,6,1,6,10,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2026-02-21_Albany (NY)_62_UMBC_66,0
31,31,2026-03-03,@,Vermont,REG (Conf),L,56,69,NA,22,52,.423,7,24,.292,15,28,.536,.490,5,7,.714,8,23,31,10,3,3,12,19,21,50,.420,9,24,.375,12,26,.462,.510,18,25,.720,5,21,26,13,5,1,8,13,albany-ny,2026,H,Albany (NY),2026,Albany (NY),2026-03-03_Albany (NY)_56_Vermont_69,0
1,1,2025-11-04,@,Florida State,REG (Non-Conf),L,76,108,NA,26,51,.510,8,16,.500,18,35,.514,.588,16,27,.593,8,24,32,11,5,4,21,17,39,70,.557,13,30,.433,26,40,.650,.650,17,25,.680,14,21,35,24,10,5,8,23,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-11-04_Alcorn State_76_Florida State_108,0
2,2,2025-11-06,@,South Alabama,REG (Non-Conf),L,70,76,NA,24,55,.436,13,36,.361,11,19,.579,.555,9,11,.818,5,19,24,14,11,2,14,25,28,53,.528,4,12,.333,24,41,.585,.566,16,27,.593,5,23,28,12,7,0,13,10,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-11-06_Alcorn State_70_South Alabama_76,0
3,3,2025-11-08,@,Minnesota,REG (Non-Conf),L,50,95,NA,19,56,.339,3,8,.375,16,48,.333,.366,9,15,.600,8,13,21,10,5,9,16,23,29,60,.483,5,16,.313,24,44,.545,.525,32,37,.865,18,30,48,20,10,4,11,14,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-11-08_Alcorn State_50_Minnesota_95,0
4,4,2025-11-11,@,Maryland,REG (Non-Conf),L,64,84,NA,24,54,.444,9,23,.391,15,31,.484,.528,7,11,.636,6,14,20,13,10,4,21,20,28,56,.500,8,28,.286,20,28,.714,.571,20,27,.741,10,21,31,14,7,1,15,11,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-11-11_Alcorn State_64_Maryland_84,0
5,5,2025-11-13,@,Howard,REG (Non-Conf),L,64,72,NA,24,58,.414,6,21,.286,18,37,.486,.466,10,12,.833,5,13,18,7,9,2,10,18,28,49,.571,3,11,.273,25,38,.658,.602,13,19,.684,10,21,31,12,7,5,17,16,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-11-13_Alcorn State_64_Howard_72,0
6,6,2025-11-18,@,Louisiana State,REG (Non-Conf),L,81,107,NA,33,67,.493,10,26,.385,23,41,.561,.567,5,11,.455,11,15,26,11,5,5,13,25,35,63,.556,6,21,.286,29,42,.690,.603,31,39,.795,17,20,37,12,8,2,11,13,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-11-18_Alcorn State_81_Louisiana State_107,0
7,7,2025-11-23,@,Oklahoma,REG (Non-Conf),L,53,72,NA,20,53,.377,8,18,.444,12,35,.343,.453,5,8,.625,6,31,37,10,5,6,19,20,22,66,.333,9,31,.290,13,35,.371,.402,19,28,.679,18,26,44,13,10,1,7,12,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-11-23_Alcorn State_53_Oklahoma_72,0
8,8,2025-11-28,N,Indiana State,REG (Non-Conf),W,81,74,NA,32,63,.508,6,20,.300,26,43,.605,.556,11,18,.611,13,28,41,8,13,4,19,18,24,64,.375,6,29,.207,18,35,.514,.422,20,25,.800,7,18,25,15,15,3,17,15,alcorn-state,2026,N,Alcorn State,2026,Alcorn State,2025-11-28_Alcorn State_81_Indiana State_74,1
9,9,2025-11-29,@,Louisiana Tech,REG (Non-Conf),L,58,83,NA,22,57,.386,4,14,.286,18,43,.419,.421,10,21,.476,13,16,29,5,5,7,13,11,35,66,.530,8,21,.381,27,45,.600,.591,5,9,.556,14,25,39,16,6,8,7,15,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-11-29_Alcorn State_58_Louisiana Tech_83,0
10,10,2025-12-03,@,Iowa State,REG (Non-Conf),L,68,132,NA,27,56,.482,8,19,.421,19,37,.514,.554,6,9,.667,6,9,15,14,11,2,26,15,46,65,.708,22,30,.733,24,35,.686,.877,18,24,.750,8,21,29,33,17,1,14,13,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-12-03_Alcorn State_68_Iowa State_132,0
11,11,2025-12-19,@,Baylor,REG (Non-Conf),L,56,113,NA,22,74,.297,6,19,.316,16,55,.291,.338,6,7,.857,11,10,21,9,10,2,14,18,42,65,.646,9,21,.429,33,44,.750,.715,20,23,.870,10,37,47,22,9,6,13,7,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-12-19_Alcorn State_56_Baylor_113,0
12,12,2025-12-29,@,Ole Miss,REG (Non-Conf),L,43,79,NA,14,57,.246,4,17,.235,10,40,.250,.281,11,15,.733,6,17,23,8,6,0,11,14,31,66,.470,10,31,.323,21,35,.600,.545,7,8,.875,15,36,51,18,6,5,13,13,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2025-12-29_Alcorn State_43_Ole Miss_79,0
14,14,2026-01-03,@,Jackson State,REG (Conf),L,86,89,NA,29,62,.468,14,26,.538,15,36,.417,.581,14,24,.583,11,19,30,19,7,4,10,19,29,55,.527,10,27,.370,19,28,.679,.618,21,25,.840,6,23,29,16,5,4,10,18,alcorn-state,2026,H,Alcorn State,2026,Alcorn State,2026-01-03_Alcorn State_86_Jackson State_89,0
15,15,2026-01-10,@,Alabama A&M,REG (Conf),W,64,62,NA,24,58,.414,6,18,.333,18,40,.450,.466,10,13,.769,7,24,31,11,4,4,8,12,24,56,.429,5,24,.208,19,32,.594,.473,9,17,.529,9,26,35,12,4,5,11,12,alcorn-state,2026,H,Alcorn State,2026,Alabama A&M,2026-01-10_Alcorn State_64_Alabama A&M_62,0
